text,Label_binary,translated_text
"एक लंबे अंतराल के बाद आपके बीच #MannKiBaat, जन-जन की बात, जन-मन की बात इसका हम सिलसिला जारी कर रहे हैं। चुनाव की आपाधापी में व्यस्तता तो ज्यादा थी लेकिन मन की बात का मजा ही गायब था, एक कमी महसूस कर रहा था। हम 130 करोड़ देशवासियों के स्वजन के रूप में बातें करते थे: पीएम जी ।",0,"After a long gap, we are releasing the series #MannKiBaat, Jan-Jan Ki Baat, Jan-Mann Ki Baat among you. There was a lot of busyness in the hustle and bustle of elections but the fun of Mann Ki Baat was missing, I was feeling something missing. We used to talk as relatives of 130 crore countrymen: PM."
"#नीच'समानार्थी शब्द #मोदी' दिला तर चालेल की, लै परफेक्ट बसलं",1,"#If you give the 'synonymous word #Modi' below, then it fits perfectly"
डॉक्टर की लिखी   7 दिन की दवा के बजाय 3 दिन की दवा ही लेना..   एक आम भारतीय गुण है.. ,0,Taking medicine for 3 days instead of 7 days prescribed by the doctor is a common Indian virtue.
इस मादरचोद को धुण्डके गांड मे गोली मरो  @Uppolice,1,Shoot this motherfucker in the ass @Uppolice
"भारतीय रेल का सोमवार से बदल जाएगा टाइम-टेबल, ईस्टर्न सेंट्रल रेलवे ने इन ट्रेनों के समय में किया बदलाव",0,"Time table of Indian Railways will change from Monday, Eastern Central Railway changed the timing of these trains."
"You cry in front of ur god  Of being deceived by the world    Some fine day u die  Reach hell    God tells you  You fucker or भोसडीके,  no one deceived you more than urself. ",1,"You cry in front of ur god  Of being deceived by the world    Some fine day u die  Reach hell    God tells you  You fucker or भोसडीके,  no one deceived you more than urself."
बस एक सवाल का जवाब चाहिए कि जिस चिटफंड घोटाले में जांच के आदेश 2014 में आए उसमें पूछताछ/कार्रवाई 2019 में क्यों शुरू हो रही है? इसी सवाल में सब छुपा है। कौन सही कौन गलत पहचान लीजिए।  @LambaAlka @AbbasAliRushdi @SanjayAzadSln    Follow करो  @mirza__786,0,Just one question needs to be answered that why the inquiry/action in the chit fund scam in which investigation was ordered in 2014 is being started in 2019? Everything is hidden in this question. Identify who is right and who is wrong.  @LambaAlka @AbbasAliRushdi @SanjayAzadSln Follow @mirza__786
नतीजे आने से पहले ज़िम्मेदारी मिलनी शुरू हो गयी है  केजरीवाल ने अपनी हार की ज़िम्मेदारी मुसलमानो को दे दिया  @ArvindKejriwal @roflfact @ZakirAliTyagi @asadowaisi,0,"Responsibility has started coming before the results, Kejriwal has given the responsibility of his defeat to Muslims @ArvindKejriwal @roflfact @ZakirAliTyagi @asadowaisi"
क्लिक करें और पढ़ें इस स्मार्टफोन के बारे में..,0,Click and read about this smartphone..
हद तो तब हो जाती हैं  जब आरक्षण का लाभ लेने वाले लोग ही आरक्षण के खिलाफ भोंकने लग जाते हैं,1,The limit is reached when the people who take advantage of reservation start barking against reservation.
#AIMIM National Spokesperson @syedasimwaqar live on @News18India  #AarPaar  @AMISHDEVGAN  @asadowaisi,0,#AIMIM National Spokesperson @syedasimwaqar live on @News18India #AarPaar @AMISHDEVGAN @asadowaisi
हरि ॐ नमो नारायणा भजन सुनकर झूम उठा भक्तों का सैलाब.    #hariom #narayana #radheradhe #jaishrikrishna #JaiShriRam #kalyug #ghanshyam #kanhaiya #acharyapramodkrishnam   @AcharyaPramodk,0,"After listening to Hari ॐ Namo Narayana bhajan, the devotees moved.    #hariom #narayana #radheradhe #jaishrikrishna #JaiShriRam #kalyug #ghanshyam #kanhaiya #acharyapramodkrishnam @AcharyaPramodk"
प्लीज कॉल मेरी जबरदस्ती चुदाई करो ना,1,please call me and fuck me forcefully
"ठोकरें खाता हूँ पर ‘शान’ से चलता हूँ, मैं खुले आसमान के नीचे सीना तान के चलता हूँ! मुश्किलें तो ‘साज़’ हैं जिंदगी का उठूंगा गिरूंगा फिर उठूंगा और आखिर में… जीतूंगा मैं ही ये ठान के चलता हूँ!!.आदरणीय अखिलेश यादव जिंदाबाद",0,"I stumble but walk with pride, I walk under the open sky with my chest held high! Difficulties are the 'instrument' of life, I will rise, I will fall, I will rise again and in the end... I will win, I walk with this determination. Long live respected Akhilesh Yadav."
#CWC2019 में भारत को पहली हार का सामना करना पड़ा। रोहित शर्मा का शतक और मोहम्मद शमी के 5 विकेट भी काम न आए और इंग्लैंड 31 रन से जीत गया,0,India faced its first defeat in #CWC2019. Rohit Sharma's century and Mohammed Shami's 5 wickets also did not work and England won by 31 runs.
"चाहे दिल्ली हो, उत्तर प्रदेश, मध्य प्रदेश या फिर राजस्थान। देश के हर कोने से नन्हें मासूमों के साथ हर रोज रेप हैवानियत की ख़बरें आ रही है लेकिन हमारे देश का कानून इतना नाकारा हैं कि अपराधियों के हौसले बुलंद हैं। सरकारें भी अपनी राजनीति के चक्कर में कोई कड़े फैसले नहीं ले रही हैं",0,"Be it Delhi, Uttar Pradesh, Madhya Pradesh or Rajasthan. Every day there are reports of brutal rape of innocent children from every corner of the country, but the laws of our country are so weak that the morale of the criminals is high. Governments are also not taking any tough decisions due to their politics."
अमित शाह से बाद में फिर तू पूछेगी यह क्या कर दिया   रंडी,1,Later you will ask Amit Shah what he did whore.
sir ap se ak rquest h ak bar fir ap Mulayam ji ko aage kr de dekhey parti bhut aage jaygi,0,"Sir, I have requested you once again and you will see Mulayam ji coming forward and the party will be very successful."
"फूल की काँटों से दोस्ती बेमिसाल है  काँटे कितना दर्द फूलों को देते हैं  फिर भी फूल मुस्कुराते हुए खिलते हैं  काँटों को भी तो देखो , फूलों की रक्षा करते हैं  खुद दर्द सहकर फूलों को महफूज़ रखते हैं ।    #आपकी_काँची  #हिंदी_शब्द  #शब्दनिधि",0,"The friendship of a flower with its thorns is unmatched. How much pain the thorns give to the flowers, yet the flowers bloom with a smile. Look at the thorns too, they protect the flowers. They themselves bear the pain and keep the flowers safe.    #आपकी_कांची #Hindi_words #शब्दनिधी"
Question Hour in Rajya Sabha.  1. संस्कृत महाविद्यालय ।  https://m.facebook.com/story.php?story_fbid=443161759855093&id=464554060349094 …,0,Question Hour in Rajya Sabha.  1. Sanskrit College.  https://m.facebook.com/story.php?story_fbid=443161759855093&id=4
"राजधानी दिल्ली में गर्मी का कहर जारी, आज शाम हल्की बारिश की संभावना    #rain   https://abpnews.abplive.in/india-news/heat-rises-in-delhi-the-possibility-of-light-rain-this-evening-1157497 …",0,"Heat rises in Delhi, the possibility of light rain this evening #rain https://abpnews.abplive.in/india-news/heat-rises-in-delhi-the-possibility-of-light-rain-this-evening-1157497…"
#कुत्ते और #मुर्गे आदि लड़वाने वालों बेज़ुबान #जानवरों से भी बद तरीन और #लानती हैवान नुमा #इंसान है जो दुनिया के चंद #सिक्कों के लिए यह घिनौनी काम करते हैं,0,Those who make dogs and chickens etc. fight are worse than the dumb #animals and are #cursing #animal-like #humans who do this disgusting work for a few #coins in the world.
"लोन देने के नाम पर बैंक निजी फाईनैंस कंपनियां पूरे देश को लूट रही हैं और देश का प्रधानमंत्री योग करना सिखा रहा है,",0,"In the name of giving loans, banks and private finance companies are looting the entire country and the Prime Minister of the country is teaching yoga."
नफरत करनी है उतनी कर लो रंडवो बाजारू रंडी कि औलादो।।,1,"You can hate as much as you want, you sons of market whores."
"#BEDTET2011बेरोजगार  @narendramodi @myogiadityanath यह कैसे देश/प्रदेश के तानाशाह मुखिया हैँ जो #BEdTET2011 के बेरोजगारों की #दयनीय हालत पे आँख बंद किये मदमस्त हैँ...#गूंगे,#बेहरे,#कुत्ते,#कमीने..नेताओं से भी बदतर..  @AmitShah  @drdineshbjp @DrMNPandeyMP @kpmaurya1 @RSSorg @Swamy39",0,"#BEDTET2011unemployed @narendramodi @myogiadityanath How is this the dictatorial head of the country/state who is intoxicated by closing his eyes on the #pitiable condition of #BEdTET2011 unemployed...#dumb,#deaf,#dogs,#bastards..worse than the leaders.. @AmitShah @drdineshbjp @DrMNPandeyMP @kpmaurya1 @RSSorg @Swamy39"
Proud of @AdvAshwaniDubey Ji    आज सोनभद्र सिंगरौली क्षेत्र में साँसों से कोयला लेने को मजबूर करोड़ो लोगों को साफ हवा का अहसास करवाया    गैरकानूनी तरीके से चल रहे 5000 कोयला ट्रक बंद करवाये    लड़ाई लम्बी हैं पर इरादे मज़बूत है  #SingrauliPollution,0,"Proud of @AdvAshwaniDubey Ji Today in Sonbhadra Singrauli area, made crores of people who were forced to inhale coal feel clean air, stopped 5000 coal trucks running illegally, the fight is long but the intentions are strong #SingrauliPollution"
जिस देश में #कन्हैया_कुमार जैसा पढ़ा लिखा युवा हार जाए #आतंकवादी_प्रज्ञा जीत जाए  उस देश की जनता का   भगवान भला करे  @pankhuripathak @kanhaiyakumar @DrKumarVishwas @satender1234123 @LambaAlka @shaila_rashid,0,May God bless the people of a country where an educated youth like #Kanhaiya_Kumar loses and #terrorist_Prajya wins. @pankhuripathak @kanhaiyakumar @DrKumarVishwas @satender1234123 @LambaAlka @shaila_rashid
इस बात की उम्‍मीद है कि आम बजट में वित्‍त मंत्री निर्मला सीतारमण मिनिमम बैंलेस को लेकर कुछ अहम ऐलान कर सकती हैं #Budget2019 #Modinomics19,0,It is expected that Finance Minister Nirmala Sitharaman can make some important announcement regarding minimum balance in the general budget. #Budget2019 #Modinomics19
Chad gundan ki chati PE......10 sheet le gyi haati wali.....Aur babua ke haate me de gayi katora.......,0,Chad was sitting on Gundan's bed...with 10 sheets of paper...and in my father's house he was sitting in a cart...
"#कमल_हासन अपने विचार रखने के लिए आज़ाद है,  तो फिर #प्रज्ञा_ठाकुर क्यो नही?  क्या इस देश मे #अभिव्यक्ति_की_आज़ादी की दो परिभाषाये है?",0,"#Kamal_Haasan is free to express his views, then why not #Pragya_Thakur?  Are there two definitions of freedom of expression in this country?"
बाबा साहब डॉ० भीम राव अम्बेडकर ही हमारे 'महादेव' हैं...।।  वो अमर होकर आज भी हमारी सुरक्षा कर रहे हैं...।।  बाबा साहब की जय हो...,0,Baba Saheb Dr. Bhim Rao Ambedkar is our 'Mahadev'.  He is immortal and is protecting us even today.  Hail Baba Saheb...
सूअर शब्द किसके लिए इस्तेमाल किया जाता है ? जस्ट पुचिंग ,0,What is the word pig used for? just pooching
"मैदान पर आपसे गेंदबाज कांपते थे, कई ऐसे मैच आपने जिताए जो यादगार हैं। जब मैंने क्रिकेट देखना शुरू किया था तब आपकी इण्डिया टीम में इन्ट्री हुई थी। इसलिए मुझपर क्रिकेट का जुनून आपको देखकर चढ़ा। स्पेशली छक्के लगाने में आपका कोई जवाब नहीं था।     Always miss you #YuvrajSingh",0,"Bowlers used to tremble with you on the field, you won many such matches which are memorable. When I started watching cricket, you entered the Indian team. That's why I got obsessed with cricket after seeing you. Especially you had no answer in hitting sixes.     Always miss you #YuvrajSingh"
न केवल हाफिज़ को  उनकी पूरी पार्टी के उम्मीदवारों को #पाकिस्तान की जनता ने चुनाव में नकार दिया था।     हमने #प्रज्ञा_ठाकुर को जीत दिला दी।    @KRaval20  @ParulDRayka4  @abhayjotava @abhisar_sharma @LambaAlka,0,Not only Hafeez his entire party's candidates were rejected by the people of #Pakistan in the elections.     We made #Pragya_Thakur win.    @KRaval20 @ParulDRayka4 @abhayjotava @abhisar_sharma @LambaAlka
बेटे तेरे जैसे मेरी कार के टायर साफ करते है 400 रुपये महीने पर     तेरी अवकात पता है भड़वा है तू दंगाई संघ का     तेरी तो ऐसी की तैसी सड़क छाप स्वर की औलाद   चल भड़वी के तू ब्लॉक हुआ अब स्वर के बच्चे ,1,"Son, like you, they clean the tires of my car at Rs. 400 per month. I know your status, you are a bastard of the riotous union, your road is like this, the children of Swar, come on, you are blocked now, children of Swar."
एक दोस्त ऐसा सिरहाने चाहिए  जिससे दोस्ती के बहाने चाहिए  मिल कर वफ़ा निभायें हम दोनों  फ़िज़ाओं में गूंजे वो तराने चाहिए...    #आपकी_काँची  #हिंदी_शब्द  #शब्दनिधि,0,"We need a friend at our bedside who, under the pretext of friendship, should fulfill our loyalty together and we should sing songs that resonate in both our minds..."
लुंड की प्यासी रंडी ने लुंड को चूस -चूस कर पिया 2 720p http://xv.musz.info/%e0%a4%b2%e0%a5%81%e0%a4%82%e0%a4%a1-%e0%a4%95%e0%a5%80-%e0%a4%aa%e0%a5%8d%e0%a4%af%e0%a4%be%e0%a4%b8%e0%a5%80-%e0%a4%b0%e0%a4%82%e0%a4%a1%e0%a5%80-%e0%a4%a8%e0%a5%87-%e0%a4%b2%e0%a5%81%e0%a4%82/ …,1,Cock thirsty whore sucks cock and drinks it 2 720p http://xv.musz.info/%e0%a4%b2%e0%a5%81%e0%a4%82%e0%a4%a1-%e0%a4%95%e0%a5%80-%e0%a4%aa%e0%a5%8d%e0%a4%af%e0%a ...
"अच्छी शुरुआत के बाद लड़खड़ाई टीम इंडिया, बांग्लादेश को दिया 315 का लक्ष्य, वर्ल्ड कप में रोहित ने जड़ा चौथा शतक    #CWC19 #INDvsBAN   https://abpnews.abplive.in/sports/india-vs-bangladesh-icc-cricket-world-cup-2019-ind-sets-target-of-315-runs-1158878 …",0,"Team India faltered after a good start, set a target of 315 for Bangladesh, Rohit scored his fourth century in the World Cup #CWC19 #INDvsBAN https://abpnews.abplive.in/sports/india-vs-bangladesh-icc-cricket-world-cup-2019-ind-sets-target-of-315-runs-1158878…"
"ये भीख न रहे, ये भीखारी न रहे धरा पे,    ठीक तुम्हारी तरह का तुम्हें इंसान सौपा है,    ऐसा काम करना की इतिहास बने,    सब कहें बूढी माँ ने हमें वरदान सौंपा है।।",0,"There should not be any beggars, there should not be any beggars on this earth, a person just like you has been given to you, do such work that it becomes history, everyone should say that the old mother has given us a boon."
"जल के बिना मछली जिंदा रह सकती है मगर बीजेपी टीवी पर धार्मिक विवादों पर बहस दिखाये बिना जिंदा नही रह सकती,,,  @ziddy_zoya @BebakAawaj @VoiceofmyBharat @Anjupra7743 @ppbajpai",1,"Fish can survive without water but BJP cannot survive without showing debates on religious disputes on TV,,,, @ziddy_zoya @BebakAawaj @VoiceofmyBharat @Anjupra7743 @ppbajpai"
सपा के लिए ये एक बड़ा मौका है दलित भाइयों का दिल जीतने के लिए अब दलित भाइयो को मायावती से कोई उम्मीद नही है।    अखिलेश यादव को OBC के साथ छोटी जातियों पे भी ध्यान देना चाहिए उन्हें अपने पार्टी में आने का न्योता दे।    फ़िर 2022 का चुनाव दलित-पिछड़ी के लिए जीत आपकी होगी।,0,"This is a big opportunity for SP to win the hearts of Dalit brothers. Now Dalit brothers have no hope from Mayawati.    Along with OBC, Akhilesh Yadav should also pay attention to smaller castes and invite them to join his party.    Then the 2022 elections will be your victory for Dalits and backward classes."
एक शख्स ऐसा भी है जिसका नाम मोदी है   पैर से लेकर सिर तक सिर्फ और सिर्फ झूठ फरेब धोखेबाजी नमक हरामि गद्दारी देश के प्रति दिखाई देती है  आक थू थू मोदी नाम पर,1,"There is a person whose name is Modi from head to toe, only lies, deception, salt bastard, betrayal towards the country are visible in the name of Modi."
बस इतनी सी बात काफी है हमारे ताअर्रुफ़ में ~  हुकूमत डर के हर रोज़ नया ठिकाना बदलती है ~,0,This much is enough to introduce us ~ The government changes its location every day due to fear ~
"हाँ एकदम ठीक कह रहे हैं साहब।  जनता को गुमराह करने के लिए कभी #चाय बेची, कभी #पकोड़े, तो #पिछड़े बने,तो कभी खुद #नीच कहे,तो कभी लोगों को #पन्द्रहलाख का झांसा दिया तो कभी #चौकीदार बन राष्ट्रवाद का मुखौटा लगा #नौटबंदी कर लाखों करोड़ रुपये का घोटाला कर,राष्ट्र की जड़ें खोद डाली .....",0,"Yes, sir, you are absolutely right.  To mislead the public, sometimes he sold #tea, sometimes #pakodas, became #backward, sometimes called himself #neech, sometimes duped people of #15 lakhs, sometimes pretended to be a #chowkidar and put on the mask of nationalism by doing #Demonetisation and doing a scam of lakhs of crores of rupees, dug up the roots of the nation..."
5 साल से एक जानवर के नाम पे मार रहे हो वो दिखता नही। शूरूआत करोगे तो अब बराबर जवाब मिलेगा तब रंडी रोना रोते रहना,1,It is not visible that you have been killing in the name of an animal for 5 years. If you initiate then you will get equal response then keep crying whore.
भोसडीके  अभिनंदन को बीच में लाने को किसने बोला ?   मा चोदेंगे फिर तो,1,Who asked to bring Bhosdi's Abhinandan in the middle?   I will fuck you then
"बाबारामरहिम के अच्छे आचरण पर जमानत मिल सकती है तो 14 साल से जेल में बंद शहाबुद्दिन का जेल में कोनसा बुरा आचरण है , कानून सबके लिये बराबर होना चाहिये",0,"If Babaramrahim can get bail on his good conduct, then what is the bad conduct of Shahabuddin, who has been in jail for 14 years, in the jail? The law should be equal for everyone."
दिल्ली के पूर्व मुख्यमंत्री आदरणीय श्री साहिब सिंह वर्मा जी की पुण्यतिथि पर उन्हें विनम्र नमन।,0,"Humble tribute to former Chief Minister of Delhi, respected Shri Sahib Singh Verma ji on his death anniversary."
"एक तीसरा “आपशन” भी है,  और वो है “संघर्ष”",0,"There is also a third “option”, and that is “struggle”."
तू हिजड़ा की सकल पे तू कुत्ता भी लुंड नहीं मारेगा,1,Even a dog will not fuck you on the money of a eunuch.
"मै देश नही बिकने दूंगा ये कहने वाला NTPC BSNL को कौड़ियों के भाव बेच रहा है,,,",0,"NTPC, which says that I will not let the country be sold, is selling BSNL at throwaway prices."
दिल्ली के रहने वाले युवक यहां नहाने के लिए आए थे,0,Young men from Delhi had come here to take bath.
Hum sab sangharsh karne ko taiyar Hain samajwadi party zindabad akhilesh yadav jindabad,0,We all are ready to fight Hain Samajwadi party zindabad Akhilesh Yadav zindabad
"इश्क़ की बात है,  धूप मे खिले गुलमोहर की बरसात है!!  गुल मेरा रंग चुरा लाए हैं गुलज़ारों में,   जल रहे हो तुम भरी बरसात की बौछारो में...  अमलतास और गुलमोहर सी हूँ मैं ,  बैशाख में बसन्त को तरसती हूँ  गुलमोहर चितचोर है  मेरे नहीं कईयों के दिल पर राज करता है वो!!  #हिन्दी_शब्द  #शब्दनिधि",0,"It's a matter of love, it's raining roses blooming in the sun!!  The roses have stolen my color in the blossoms, you are burning in the showers of rain... I am like Amaltas and Gulmohar, I yearn for spring in Baishakh, Gulmohar is not my favorite, he rules the hearts of many people!!  #hindi_words #shabdnidhi"
"खैरा बाज़ार,बहराइच में मुसलमानों पर पहले तो ज्यादती और फिर पुलिस की एकतरफा कार्यवाई। आखिर इंसाफ कौन करेगा? कोई तो आवाज़ उठाए बेगुनाह मुसलमानों के लिए। @samajwadiparty @yadavakhilesh @dimpleyadav @arisudan11 @MirzaInam_ @YasirS_Alig @Aqdas_shaikh_22",0,"First the atrocities on Muslims in Khaira Bazaar, Bahraich and then the unilateral action of the police. After all, who will do justice? Someone should raise voice for innocent Muslims. @samajwadiparty @yadavakhilesh @dimpleyadav @arisudan11 @MirzaInam_ @YasirS_Alig @Aqdas_shaikh_22"
"मैं चुनाव आयोग को, और चुनाव प्रक्रिया से जुड़े प्रत्येक व्यक्ति को, बहुत-बहुत बधाई देता हूँ और भारत के जागरूक मतदाताओं को नमन करता हूँ: पीएम @narendramodi जी ।   #MannKiBaat",0,"I congratulate the Election Commission, and everyone associated with the election process, and salute the conscious voters of India: PM @narendramodi ji.   #MannKiBaat"
साला बल्ला तो बिल्कुल माब लिंचिंग टाइप चलाता है मादरचोद,1,The fucking bat is absolutely lynching type motherfucker.
गौरव साहब नारंगी वाले क्या दूसरे देश के हैं जो उस रंडी ने ऐसा लिखा है,1,"Gaurav sir, is the orange one from any other country that that whore has written like this?"
कामयाबी के मुक़ाम के लिए दिए सा बनना बहुत ज़रूरी है.. साहिब..!    दिया हमेशा दूसरों के लिए जलता है...दूसरों से नहीं जलता..!    शुभरात्रि ट्वीटरीयों,0,To achieve success it is very important to become like a lamp.. Sahib..!    The lamp always burns for others...not from others..!    goodnight tweeters
Nayan Neerav Abe Ulta kahe ko bol rha hSP- 15BSP- 5,0,Nayan Neerav Abe Ulta kho raha hai hSP- 15BSP- 5
इस रशीदी जेहादी का पायजामा पीला तो नही है आज आज हरामी को बड़ा भाईचारा नज़र आ रहा है,1,The pajamas of this Rashidi Jihadi are not yellow. Today the scoundrel is looking like a big brother.
"जब से मैंने तोहे निहारा, रातों को न सोई....    #krishnakanhaiya #muraliwale #mohan #kanhaiya #radheradhe #jaishriram #gopalkanhaiya #bhajansandhya #acharyapramodkrishnam  @AcharyaPramodk",0,"Ever since I looked at you, I did not sleep at night."
#CWC19 #INDvENG जान बूझकर हारने वाले बयान पर कपिल देव ने दिया पाकिस्तानी क्रिकेटर्स को करारा जवाब.   @therealkapildev @TheRealPCB @BCCI https://www.wahcricket.com/news/world-cup-2019-legend-kapil-dev-respond-to-former-pakistan-cricketers-statement-138653 …,0,#CWC19 #INDvENG Kapil Dev gave a befitting reply to Pakistani cricketers on the statement of losing deliberately.   @therealkapildev @TheRealPCB @BCCI https://www.wahcricket.com/news/world-cup-2019-legend-kapil-dev-respond-to-former-pakistan-cricketers-statement-138653…
देश की राजनीति में आप आदर्श नेता है और यह हम सब मानते हैं अगर राजनीति में किसी व्यक्ति को आदर्श माना जा सकता है तो आदरणीय अखिलेश यादव जी हैं! आप इसी लिए विशेष है !जय अखिलेश,0,You are an ideal leader in the country's politics and we all believe that if any person can be considered ideal in politics then it is respected Akhilesh Yadav ji! You are special for this! Jai Akhilesh
